ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-25,22322.57789519781,14785.001587690138,17683.056492316056,22322.57789519781,22322.57789519781,-6063.477598158174,-6063.477598158174,-6063.477598158174,1458.3054393283574,1458.3054393283574,1458.3054393283574,-7521.783037486532,-7521.783037486532,-7521.783037486532,0.0,0.0,0.0,16259.100297039637
2013-01-26,22310.920364164387,16628.425945888786,19625.993305094933,22310.920364164387,22310.920364164387,-4237.026962964878,-4237.026962964878,-4237.026962964878,3206.89934208792,3206.89934208792,3206.89934208792,-7443.926305052799,-7443.926305052799,-7443.926305052799,0.0,0.0,0.0,18073.893401199508
2013-01-27,22299.26283313096,18321.577214406418,21274.881983516243,22299.26283313096,22299.26283313096,-2421.4935222308286,-2421.4935222308286,-2421.4935222308286,4943.097724820216,4943.097724820216,4943.097724820216,-7364.591247051045,-7364.591247051045,-7364.591247051045,0.0,0.0,0.0,19877.769310900134
2013-01-28,22287.605302097534,8057.788682518032,11084.55554559152,22287.605302097534,22287.605302097534,-12715.975632287664,-12715.975632287664,-12715.975632287664,-5431.229212129043,-5431.229212129043,-5431.229212129043,-7284.746420158622,-7284.746420158622,-7284.746420158622,0.0,0.0,0.0,9571.62966980987
2013-01-29,22275.94777106411,11671.097988351468,14509.191624767578,22275.94777106411,22275.94777106411,-9200.093133099996,-9200.093133099996,-9200.093133099996,-1994.845070869443,-1994.845070869443,-1994.845070869443,-7205.248062230551,-7205.248062230551,-7205.248062230551,0.0,0.0,0.0,13075.854637964116
2013-01-30,22264.29024003069,11641.713427239116,14674.377421894864,22264.29024003069,22264.29024003069,-9054.52643768496,-9054.52643768496,-9054.52643768496,-1927.712966052644,-1927.712966052644,-1927.712966052644,-7126.813471632315,-7126.813471632315,-7126.813471632315,0.0,0.0,0.0,13209.76380234573
2013-01-31,22252.632708997262,13492.679171265243,16416.686362541514,22252.632708997262,22252.632708997262,-7304.514841500264,-7304.514841500264,-7304.514841500264,-254.51525721083925,-254.51525721083925,-254.51525721083925,-7049.999584289425,-7049.999584289425,-7049.999584289425,0.0,0.0,0.0,14948.117867496998
2013-02-01,22240.97517796384,15326.374638668747,18204.62779242252,22240.97517796384,22240.97517796384,-5516.881887284043,-5516.881887284043,-5516.881887284043,1458.30543933443,1458.30543933443,1458.30543933443,-6975.187326618473,-6975.187326618473,-6975.187326618473,0.0,0.0,0.0,16724.093290679797
2013-02-02,22229.317646930413,17122.367833256787,20048.38068517229,22229.317646930413,22229.317646930413,-3695.6727916092786,-3695.6727916092786,-3695.6727916092786,3206.899342098448,3206.899342098448,3206.899342098448,-6902.572133707727,-6902.572133707727,-6902.572133707727,0.0,0.0,0.0,18533.644855321134
2013-02-03,22217.66011589699,18953.167188960655,21817.10435232671,22217.66011589699,22217.66011589699,-1889.0631001556026,-1889.0631001556026,-1889.0631001556026,4943.097724828791,4943.097724828791,4943.097724828791,-6832.160824984394,-6832.160824984394,-6832.160824984394,0.0,0.0,0.0,20328.597015741387
2013-02-04,22206.002584863563,8507.449879459016,11394.325924326047,22206.002584863563,22206.002584863563,-12195.004042268756,-12195.004042268756,-12195.004042268756,-5431.229212132043,-5431.229212132043,-5431.229212132043,-6763.774830136713,-6763.774830136713,-6763.774830136713,0.0,0.0,0.0,10010.998542594807
2013-02-05,22194.34505383014,11997.66650037509,15065.805006238526,22194.34505383014,22194.34505383014,-8691.904633015822,-8691.904633015822,-8691.904633015822,-1994.8450708611406,-1994.8450708611406,-1994.8450708611406,-6697.05956215468,-6697.05956215468,-6697.05956215468,0.0,0.0,0.0,13502.440420814319
2013-02-06,22182.687522796714,12064.425668453374,15153.875139327056,22182.687522796714,22182.687522796714,-8559.212513874743,-8559.212513874743,-8559.212513874743,-1927.7129660482449,-1927.7129660482449,-1927.7129660482449,-6631.499547826497,-6631.499547826497,-6631.499547826497,0.0,0.0,0.0,13623.47500892197
2013-02-07,22171.029991763287,13893.781513887658,16970.792483723075,22171.029991763287,22171.029991763287,-6820.954011427287,-6820.954011427287,-6820.954011427287,-254.51525721475738,-254.51525721475738,-254.51525721475738,-6566.43875421253,-6566.43875421253,-6566.43875421253,0.0,0.0,0.0,15350.075980336002
2013-02-08,22159.372460729865,15629.32488818633,18570.467486706322,22159.372460729865,22159.372460729865,-5042.799958134004,-5042.799958134004,-5042.799958134004,1458.3054393181797,1458.3054393181797,1458.3054393181797,-6501.105397452183,-6501.105397452183,-6501.105397452183,0.0,0.0,0.0,17116.57250259586
2013-02-09,22147.71492969644,17584.008465326027,20448.362413038303,22147.71492969644,22147.71492969644,-3227.7410498549953,-3227.7410498549953,-3227.7410498549953,3206.8993420814345,3206.8993420814345,3206.8993420814345,-6434.64039193643,-6434.64039193643,-6434.64039193643,0.0,0.0,0.0,18919.973879841447
2013-02-10,22136.057398663015,19248.415381924715,22123.666407480174,22136.057398663015,22136.057398663015,-1423.0307720252745,-1423.0307720252745,-1423.0307720252745,4943.097724848507,4943.097724848507,4943.097724848507,-6366.128496873781,-6366.128496873781,-6366.128496873781,0.0,0.0,0.0,20713.02662663774
2013-02-11,22124.399867629592,8959.005614636304,11919.964330527439,22124.399867629592,22124.399867629592,-11725.86035836313,-11725.86035836313,-11725.86035836313,-5431.229212135045,-5431.229212135045,-5431.229212135045,-6294.631146228086,-6294.631146228086,-6294.631146228086,0.0,0.0,0.0,10398.539509266462
2013-02-12,22112.742336596166,12439.96933429838,15355.708456851911,22112.742336596166,22112.742336596166,-8214.064979445015,-8214.064979445015,-8214.064979445015,-1994.8450708609018,-1994.8450708609018,-1994.8450708609018,-6219.219908584111,-6219.219908584111,-6219.219908584111,0.0,0.0,0.0,13898.677357151151
2013-02-13,22101.084805562743,12449.235715618004,15515.294359705193,22101.084805562743,22101.084805562743,-8066.722482492897,-8066.722482492897,-8066.722482492897,-1927.7129660569915,-1927.7129660569915,-1927.7129660569915,-6139.0095164359045,-6139.0095164359045,-6139.0095164359045,0.0,0.0,0.0,14034.362323069847
2013-02-14,22089.427274529316,14291.379236126793,17180.51788574053,22089.427274529316,22089.427274529316,-6307.70468670845,-6307.70468670845,-6307.70468670845,-254.51525720205547,-254.51525720205547,-254.51525720205547,-6053.189429506395,-6053.189429506395,-6053.189429506395,0.0,0.0,0.0,15781.722587820866
2013-02-15,22077.769743495894,16167.063355632627,19078.63140121594,22077.769743495894,22077.769743495894,-4502.747513435594,-4502.747513435594,-4502.747513435594,1458.305439324252,1458.305439324252,1458.305439324252,-5961.0529527598455,-5961.0529527598455,-5961.0529527598455,0.0,0.0,0.0,17575.022230060298
2013-02-16,22066.112212462467,17964.677080715774,20803.749545426148,22066.112212462467,22066.112212462467,-2655.123672660275,-2655.123672660275,-2655.123672660275,3206.899342091962,3206.899342091962,3206.899342091962,-5862.023014752237,-5862.023014752237,-5862.023014752237,0.0,0.0,0.0,19410.98853980219
2013-02-17,22054.45468142904,19852.25480092134,22710.756066715465,22054.45468142904,22054.45468142904,-812.5760980692164,-812.5760980692164,-812.5760980692164,4943.097724840037,4943.097724840037,4943.097724840037,-5755.673822909253,-5755.673822909253,-5755.673822909253,0.0,0.0,0.0,21241.878583359823
2013-02-18,22042.797150395618,9409.818573763769,12359.153497483036,22042.797150395618,22042.797150395618,-11072.976957811014,-11072.976957811014,-11072.976957811014,-5431.229212138044,-5431.229212138044,-5431.229212138044,-5641.747745672969,-5641.747745672969,-5641.747745672969,0.0,0.0,0.0,10969.820192584604
2013-02-19,22031.139619362195,13051.538603395798,15936.547371436338,22031.139619362195,22031.139619362195,-7515.0119937538975,-7515.0119937538975,-7515.0119937538975,-1994.8450708583107,-1994.8450708583107,-1994.8450708583107,-5520.166922895586,-5520.166922895586,-5520.166922895586,0.0,0.0,0.0,14516.127625608297
2013-02-20,22019.48208832877,13202.788474044748,16160.217531843804,22019.48208832877,22019.48208832877,-7318.752236732517,-7318.752236732517,-7318.752236732517,-1927.7129660433195,-1927.7129660433195,-1927.7129660433195,-5391.039270689197,-5391.039270689197,-5391.039270689197,0.0,0.0,0.0,14700.72985159625
2013-02-21,22007.824557295346,15045.057766030784,17973.1035613331,22007.824557295346,22007.824557295346,-5509.173977330389,-5509.173977330389,-5509.173977330389,-254.5152572215992,-254.5152572215992,-254.5152572215992,-5254.65872010879,-5254.65872010879,-5254.65872010879,0.0,0.0,0.0,16498.650579964957
2013-02-22,21996.16702626192,16857.223578445417,19938.898585070674,21996.16702626192,21996.16702626192,-3653.1942659224464,-3653.1942659224464,-3653.1942659224464,1458.3054393303253,1458.3054393303253,1458.3054393303253,-5111.4997052527715,-5111.4997052527715,-5111.4997052527715,0.0,0.0,0.0,18342.97276033947
2013-02-23,21984.509495228496,18663.475976402573,21758.253639361006,21984.509495228496,21984.509495228496,-1755.3067482934484,-1755.3067482934484,-1755.3067482934484,3206.8993420910683,3206.8993420910683,3206.8993420910683,-4962.206090384517,-4962.206090384517,-4962.206090384517,0.0,0.0,0.0,20229.202746935047
2013-02-24,21972.85196419507,20679.271287226624,23614.084107065835,21972.85196419507,21972.85196419507,135.52283253812683,135.52283253812683,135.52283253812683,4943.097724843043,4943.097724843043,4943.097724843043,-4807.574892304916,-4807.574892304916,-4807.574892304916,0.0,0.0,0.0,22108.3747967332
2013-02-25,21961.194433161647,10494.880792332335,13262.347462898479,21961.194433161647,21961.194433161647,-10079.764520762383,-10079.764520762383,-10079.764520762383,-5431.229212133299,-5431.229212133299,-5431.229212133299,-4648.535308629085,-4648.535308629085,-4648.535308629085,0.0,0.0,0.0,11881.429912399264
2013-02-26,21949.53690212822,14064.39790932262,16925.575447394018,21949.53690212822,21949.53690212822,-6480.968771185408,-6480.968771185408,-6480.968771185408,-1994.8450708580729,-1994.8450708580729,-1994.8450708580729,-4486.1237003273345,-4486.1237003273345,-4486.1237003273345,0.0,0.0,0.0,15468.568130942813
2013-02-27,21937.879371094798,14195.14754954922,17190.191955545764,21937.879371094798,21937.879371094798,-6249.1682600467375,-6249.1682600467375,-6249.1682600467375,-1927.7129660559408,-1927.7129660559408,-1927.7129660559408,-4321.455293990797,-4321.455293990797,-4321.455293990797,0.0,0.0,0.0,15688.71111104806
2013-02-28,21926.221840061367,16068.12368205704,18954.482125307994,21926.221840061367,21926.221840061367,-4410.208719771775,-4410.208719771775,-4410.208719771775,-254.51525720989187,-254.51525720989187,-254.51525720989187,-4155.693462561883,-4155.693462561883,-4155.693462561883,0.0,0.0,0.0,17516.013120289594
2013-03-01,21914.564307669854,17958.862841649392,20798.450343185148,21914.564307669854,21914.564307669854,-2531.712070804655,-2531.712070804655,-2531.712070804655,1458.3054393363986,1458.3054393363986,1458.3054393363986,-3990.0175101410537,-3990.0175101410537,-3990.0175101410537,0.0,0.0,0.0,19382.852236865197
2013-03-02,21902.906775278338,19762.940305323344,22868.316292738804,21902.906775278338,21902.906775278338,-618.6905832010862,-618.6905832010862,-618.6905832010862,3206.8993420968977,3206.8993420968977,3206.8993420968977,-3825.589925297984,-3825.589925297984,-3825.589925297984,0.0,0.0,0.0,21284.216192077252
2013-03-03,21891.24924288682,21617.866898543198,24668.506920538734,21891.24924288682,21891.24924288682,1279.573647651621,1279.573647651621,1279.573647651621,4943.097724840143,4943.097724840143,4943.097724840143,-3663.524077188522,-3663.524077188522,-3663.524077188522,0.0,0.0,0.0,23170.822890538442
2013-03-04,21879.591710495304,11456.742937730862,14363.470731935788,21879.591710495304,21879.591710495304,-8936.082521869468,-8936.082521869468,-8936.082521869468,-5431.229212134915,-5431.229212134915,-5431.229212134915,-3504.853309734553,-3504.853309734553,-3504.853309734553,0.0,0.0,0.0,12943.509188625836
2013-03-05,21867.934178103787,15031.077882206539,17976.433515731664,21867.934178103787,21867.934178103787,-5345.347412851548,-5345.347412851548,-5345.347412851548,-1994.8450708578343,-1994.8450708578343,-1994.8450708578343,-3350.5023419937143,-3350.5023419937143,-3350.5023419937143,0.0,0.0,0.0,16522.58676525224
2013-03-06,21856.276645712274,15319.618105741038,18227.266008083476,21856.276645712274,21856.276645712274,-5128.974775369131,-5128.974775369131,-5128.974775369131,-1927.7129660383946,-1927.7129660383946,-1927.7129660383946,-3201.261809330736,-3201.261809330736,-3201.261809330736,0.0,0.0,0.0,16727.301870343144
2013-03-07,21844.619113320754,17071.39726848045,19969.700869990185,21844.619113320754,21844.619113320754,-3312.281939709826,-3312.281939709826,-3312.281939709826,-254.51525719718984,-254.51525719718984,-254.51525719718984,-3057.7666825126357,-3057.7666825126357,-3057.7666825126357,0.0,0.0,0.0,18532.33717361093
2013-03-08,21832.96158092924,18984.851993179822,21874.4671643053,21832.96158092924,21832.96158092924,-1462.1737442243727,-1462.1737442243727,-1462.1737442243727,1458.3054393201473,1458.3054393201473,1458.3054393201473,-2920.47918354452,-2920.47918354452,-2920.47918354452,0.0,0.0,0.0,20370.78783670487
2013-03-09,21821.304048537724,20776.313204950744,23798.961269069034,21821.304048537724,21821.304048537724,417.2226605259457,417.2226605259457,417.2226605259457,3206.8993420798843,3206.8993420798843,3206.8993420798843,-2789.6766815539386,-2789.6766815539386,-2789.6766815539386,0.0,0.0,0.0,22238.52670906367
2013-03-10,21809.646516146207,22628.82661649295,25548.207707488524,21809.646516146207,21809.646516146207,2277.6528212643448,2277.6528212643448,2277.6528212643448,4943.097724831675,4943.097724831675,4943.097724831675,-2665.44490356733,-2665.44490356733,-2665.44490356733,0.0,0.0,0.0,24087.299337410554
2013-03-11,21797.98898375469,12433.639264740548,15303.558880498782,21797.98898375469,21797.98898375469,-7978.905850167957,-7978.905850167957,-7978.905850167957,-5431.2292121393,-5431.2292121393,-5431.2292121393,-2547.6766380286576,-2547.6766380286576,-2547.6766380286576,0.0,0.0,0.0,13819.083133586733
2013-03-12,21786.331451363178,15949.516727902217,18849.355056027827,21786.331451363178,21786.331451363178,-4430.921018941005,-4430.921018941005,-4430.921018941005,-1994.845070857596,-1994.845070857596,-1994.845070857596,-2436.0759480834085,-2436.0759480834085,-2436.0759480834085,0.0,0.0,0.0,17355.410432422173
2013-03-13,21774.67391897166,16127.105328374764,19087.723659742307,21774.67391897166,21774.67391897166,-4257.880717845242,-4257.880717845242,-4257.880717845242,-1927.7129660510152,-1927.7129660510152,-1927.7129660510152,-2330.167751794227,-2330.167751794227,-2330.167751794227,0.0,0.0,0.0,17516.79320112642
2013-03-14,21763.016386580144,17731.089026877613,20767.868483761173,21763.016386580144,21763.016386580144,-2483.8277293397714,-2483.8277293397714,-2483.8277293397714,-254.515257201108,-254.515257201108,-254.515257201108,-2229.3124721386635,-2229.3124721386635,-2229.3124721386635,0.0,0.0,0.0,19279.188657240375
2013-03-15,21751.358854188627,19610.632754073096,22638.58052004777,21751.358854188627,21751.358854188627,-674.419876091571,-674.419876091571,-674.419876091571,1458.30543934123,1458.30543934123,1458.30543934123,-2132.725315432801,-2132.725315432801,-2132.725315432801,0.0,0.0,0.0,21076.938978097056
2013-03-16,21739.70132179711,21437.363459050728,24350.708702360862,21739.70132179711,21739.70132179711,1167.3997353798122,1167.3997353798122,1167.3997353798122,3206.8993420789916,3206.8993420789916,3206.8993420789916,-2039.499606699179,-2039.499606699179,-2039.499606699179,0.0,0.0,0.0,22907.101057176922
2013-03-17,21728.043789405594,23331.944708493615,26255.233745668487,21728.043789405594,21728.043789405594,2994.4642266116134,2994.4642266116134,2994.4642266116134,4943.097724834347,4943.097724834347,4943.097724834347,-1948.633498222733,-1948.633498222733,-1948.633498222733,0.0,0.0,0.0,24722.508016017207
2013-03-18,21716.386257014077,12944.543105685198,15897.332267784726,21716.386257014077,21716.386257014077,-7290.28848821649,-7290.28848821649,-7290.28848821649,-5431.2292121345545,-5431.2292121345545,-5431.2292121345545,-1859.0592760819363,-1859.0592760819363,-1859.0592760819363,0.0,0.0,0.0,14426.097768797586
2013-03-19,21704.728724622564,16457.29991817715,19466.847710624803,21704.728724622564,21704.728724622564,-3764.5194921587213,-3764.5194921587213,-3764.5194921587213,-1994.8450708550054,-1994.8450708550054,-1994.8450708550054,-1769.674421303716,-1769.674421303716,-1769.674421303716,0.0,0.0,0.0,17940.209232463843
2013-03-20,21693.071192231047,16558.075293958176,19614.959417770217,21693.071192231047,21693.071192231047,-3607.086505196208,-3607.086505196208,-3607.086505196208,-1927.7129660466167,-1927.7129660466167,-1927.7129660466167,-1679.3735391495911,-1679.3735391495911,-1679.3735391495911,0.0,0.0,0.0,18085.98468703484
2013-03-21,21681.41365983953,18322.37369215379,21452.481066244458,21681.41365983953,21681.41365983953,-1841.595510060829,-1841.595510060829,-1841.595510060829,-254.51525718940067,-254.51525718940067,-254.51525718940067,-1587.0802528714282,-1587.0802528714282,-1587.0802528714282,0.0,0.0,0.0,19839.8181497787
2013-03-22,21669.756127448014,20152.847316393574,23121.406559496212,21669.756127448014,21669.756127448014,-33.47272794419209,-33.47272794419209,-33.47272794419209,1458.3054393322934,1458.3054393322934,1458.3054393322934,-1491.7781672764852,-1491.7781672764852,-1491.7781672764852,0.0,0.0,0.0,21636.283399503824
2013-03-23,21658.098595056497,21986.946145499955,25033.453742835234,21658.098595056497,21658.098595056497,1814.3593000541043,1814.3593000541043,1814.3593000541043,3206.8993420733987,3206.8993420733987,3206.8993420733987,-1392.5400420192948,-1392.5400420192948,-1392.5400420192948,0.0,0.0,0.0,23472.4578951106
2013-03-24,21646.441062664984,23766.27360208973,26822.283223364713,21646.441062664984,21646.441062664984,3654.5433514443034,3654.5433514443034,3654.5433514443034,4943.097724837351,4943.097724837351,4943.097724837351,-1288.5543733930479,-1288.5543733930479,-1288.5543733930479,0.0,0.0,0.0,25300.984414109287
2013-03-25,21634.783530273464,13550.716886425515,16491.26012621165,21634.783530273464,21634.783530273464,-6610.377876652526,-6610.377876652526,-6610.377876652526,-5431.229212137554,-5431.229212137554,-5431.229212137554,-1179.1486645149723,-1179.1486645149723,-1179.1486645149723,0.0,0.0,0.0,15024.40565362094
2013-03-26,21623.12599788195,17049.02168121132,19962.269830944504,21623.12599788195,21623.12599788195,-3058.6538354084955,-3058.6538354084955,-3058.6538354084955,-1994.8450708685418,-1994.8450708685418,-1994.8450708685418,-1063.808764539954,-1063.808764539954,-1063.808764539954,0.0,0.0,0.0,18564.472162473456
2013-03-27,21611.468465490434,17270.704967020123,20111.991259025774,21611.468465490434,21611.468465490434,-2869.9067407925,-2869.9067407925,-2869.9067407925,-1927.7129660422163,-1927.7129660422163,-1927.7129660422163,-942.1937747502835,-942.1937747502835,-942.1937747502835,0.0,0.0,0.0,18741.561724697935
2013-03-28,21599.810933098917,19033.261564029217,21976.733016049,21599.810933098917,21599.810933098917,-1068.6614066306543,-1068.6614066306543,-1068.6614066306543,-254.5152572089444,-254.5152572089444,-254.5152572089444,-814.1461494217097,-814.1461494217097,-814.1461494217097,0.0,0.0,0.0,20531.149526468264
2013-03-29,21588.1534007074,20866.656792105223,23819.227582187363,21588.1534007074,21588.1534007074,778.6086809822058,778.6086809822058,778.6086809822058,1458.3054393160419,1458.3054393160419,1458.3054393160419,-679.6967583338363,-679.6967583338363,-679.6967583338363,0.0,0.0,0.0,22366.762081689605
2013-03-30,21576.495868315884,22778.139650341334,25690.995744824733,21576.495868315884,21576.495868315884,2667.8345205118676,2667.8345205118676,2667.8345205118676,3206.899342083926,3206.899342083926,3206.899342083926,-539.0648215720582,-539.0648215720582,-539.0648215720582,0.0,0.0,0.0,24244.33038882775
2013-03-31,21564.83833592437,24599.787165146772,27576.83729160196,21564.83833592437,21564.83833592437,4550.444953271281,4550.444953271281,4550.444953271281,4943.0977248344525,4943.0977248344525,4943.0977248344525,-392.65277156317177,-392.65277156317177,-392.65277156317177,0.0,0.0,0.0,26115.28328919565
2013-04-01,21553.18080353285,14414.244766335829,17423.57003029001,21553.18080353285,21553.18080353285,-5672.26545015248,-5672.26545015248,-5672.26545015248,-5431.229212141939,-5431.229212141939,-5431.229212141939,-241.03623801054096,-241.03623801054096,-241.03623801054096,0.0,0.0,0.0,15880.91535338037
2013-04-02,21541.523271141337,18081.51083222088,20859.48457922095,21541.523271141337,21541.523271141337,-2079.794555351037,-2079.794555351037,-2079.794555351037,-1994.8450708602402,-1994.8450708602402,-1994.8450708602402,-84.94948449079703,-84.94948449079703,-84.94948449079703,0.0,0.0,0.0,19461.7287157903
